Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Google Shopping / Google Product Category,Status
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17 Pro,,Grip Only,Y2K-POOH-17PR-GO,0,shopify,3,deny,manual,170.76,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17 Pro,,Charm Only,Y2K-POOH-17PR-CHO,0,shopify,3,deny,manual,113.82,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17,,Case+Grip+Charm,Y2K-POOH-17-CGC,0,shopify,3,deny,manual,409.89,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17,,Case+Grip,Y2K-POOH-17-CG,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17,,Case+Charm,Y2K-POOH-17-CC,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17,,Case Only,Y2K-POOH-17-CO,0,shopify,3,deny,manual,261.86,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17,,Grip Only,Y2K-POOH-17-GO,0,shopify,3,deny,manual,170.76,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 17,,Charm Only,Y2K-POOH-17-CHO,0,shopify,3,deny,manual,113.82,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16 Pro Max,,Case+Grip+Charm,Y2K-POOH-16PM-CGC,0,shopify,3,deny,manual,409.89,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16 Pro Max,,Case+Grip,Y2K-POOH-16PM-CG,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16 Pro Max,,Case+Charm,Y2K-POOH-16PM-CC,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16 Pro Max,,Case Only,Y2K-POOH-16PM-CO,0,shopify,3,deny,manual,261.86,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16 Pro Max,,Grip Only,Y2K-POOH-16PM-GO,0,shopify,3,deny,manual,170.76,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16 Pro Max,,Charm Only,Y2K-POOH-16PM-CHO,0,shopify,3,deny,manual,113.82,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16 Pro,,Case+Grip+Charm,Y2K-POOH-16PR-CGC,0,shopify,3,deny,manual,409.89,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16 Pro,,Case+Grip,Y2K-POOH-16PR-CG,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16 Pro,,Case+Charm,Y2K-POOH-16PR-CC,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16 Pro,,Case Only,Y2K-POOH-16PR-CO,0,shopify,3,deny,manual,261.86,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16 Pro,,Grip Only,Y2K-POOH-16PR-GO,0,shopify,3,deny,manual,170.76,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16 Pro,,Charm Only,Y2K-POOH-16PR-CHO,0,shopify,3,deny,manual,113.82,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16,,Case+Grip+Charm,Y2K-POOH-16-CGC,0,shopify,3,deny,manual,409.89,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16,,Case+Grip,Y2K-POOH-16-CG,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16,,Case+Charm,Y2K-POOH-16-CC,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16,,Case Only,Y2K-POOH-16-CO,0,shopify,3,deny,manual,261.86,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16,,Grip Only,Y2K-POOH-16-GO,0,shopify,3,deny,manual,170.76,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 16,,Charm Only,Y2K-POOH-16-CHO,0,shopify,3,deny,manual,113.82,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15 Pro Max,,Case+Grip+Charm,Y2K-POOH-15PM-CGC,0,shopify,3,deny,manual,409.89,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15 Pro Max,,Case+Grip,Y2K-POOH-15PM-CG,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15 Pro Max,,Case+Charm,Y2K-POOH-15PM-CC,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15 Pro Max,,Case Only,Y2K-POOH-15PM-CO,0,shopify,3,deny,manual,261.86,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15 Pro Max,,Grip Only,Y2K-POOH-15PM-GO,0,shopify,3,deny,manual,170.76,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15 Pro Max,,Charm Only,Y2K-POOH-15PM-CHO,0,shopify,3,deny,manual,113.82,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15 Pro,,Case+Grip+Charm,Y2K-POOH-15PR-CGC,0,shopify,3,deny,manual,409.89,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15 Pro,,Case+Grip,Y2K-POOH-15PR-CG,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15 Pro,,Case+Charm,Y2K-POOH-15PR-CC,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15 Pro,,Case Only,Y2K-POOH-15PR-CO,0,shopify,3,deny,manual,261.86,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15 Pro,,Grip Only,Y2K-POOH-15PR-GO,0,shopify,3,deny,manual,170.76,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15 Pro,,Charm Only,Y2K-POOH-15PR-CHO,0,shopify,3,deny,manual,113.82,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15,,Case+Grip+Charm,Y2K-POOH-15-CGC,0,shopify,3,deny,manual,409.89,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15,,Case+Grip,Y2K-POOH-15-CG,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15,,Case+Charm,Y2K-POOH-15-CC,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15,,Case Only,Y2K-POOH-15-CO,0,shopify,3,deny,manual,261.86,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15,,Grip Only,Y2K-POOH-15-GO,0,shopify,3,deny,manual,170.76,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 15,,Charm Only,Y2K-POOH-15-CHO,0,shopify,3,deny,manual,113.82,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14 Pro Max,,Case+Grip+Charm,Y2K-POOH-14PM-CGC,0,shopify,3,deny,manual,409.89,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14 Pro Max,,Case+Grip,Y2K-POOH-14PM-CG,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14 Pro Max,,Case+Charm,Y2K-POOH-14PM-CC,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14 Pro Max,,Case Only,Y2K-POOH-14PM-CO,0,shopify,3,deny,manual,261.86,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14 Pro Max,,Grip Only,Y2K-POOH-14PM-GO,0,shopify,3,deny,manual,170.76,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14 Pro Max,,Charm Only,Y2K-POOH-14PM-CHO,0,shopify,3,deny,manual,113.82,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14 Pro,,Case+Grip+Charm,Y2K-POOH-14PR-CGC,0,shopify,3,deny,manual,409.89,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14 Pro,,Case+Grip,Y2K-POOH-14PR-CG,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14 Pro,,Case+Charm,Y2K-POOH-14PR-CC,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14 Pro,,Case Only,Y2K-POOH-14PR-CO,0,shopify,3,deny,manual,261.86,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14 Pro,,Grip Only,Y2K-POOH-14PR-GO,0,shopify,3,deny,manual,170.76,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14 Pro,,Charm Only,Y2K-POOH-14PR-CHO,0,shopify,3,deny,manual,113.82,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14/13,,Case+Grip+Charm,Y2K-POOH-1413-CGC,0,shopify,3,deny,manual,409.89,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14/13,,Case+Grip,Y2K-POOH-1413-CG,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14/13,,Case+Charm,Y2K-POOH-1413-CC,0,shopify,3,deny,manual,350.11,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14/13,,Case Only,Y2K-POOH-1413-CO,0,shopify,3,deny,manual,261.86,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14/13,,Grip Only,Y2K-POOH-1413-GO,0,shopify,3,deny,manual,170.76,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,iPhone 14/13,,Charm Only,Y2K-POOH-1413-CHO,0,shopify,3,deny,manual,113.82,TRUE,TRUE,,,,,,,
cute-winnie-the-pooh-magsafe-case-autumn-leaf-shaker-grip-charm-kawaii-clear-cover-iphone-17-16-15-14-13-pro-max-y2k-fall-aesthetic,,,,,,,,,,,,,,,,,,,,,https://i.etsystatic.com/65453590/r/il/03a2a2/7972692701/il_fullxfull.7972692701_kv5o.jpg,2,"Cute Winnie The Pooh MAGSAFE Case, Autumn Leaf Shaker Grip & Charm, Kawaii Clear Cover iPhone 17 16 15 14 13 Pro Max, Y2K Fall Aesthetic",,,,
